Name,ID,Instagram,Wikipedia,SpotifyFollowers,MonthlyListeners,Singles,TopTrackPlays,EarliestAlbum,MonthSinceRelease,Albums,AppearsOn,DiscoveredOn
LxneDxvah,49VKqG7MAEuNke32cc6dVO,https://instagram.com/lxnedxvah,-1,689,15518,43,231849,2020-02-14,30,4,7,85
Gloria Gaynor,6V6WCgi7waF55bJmylC4H5,https://instagram.com/gloriagaynor,https://en.wikipedia.org/wiki/Gloria_Gaynor,809338,5478448,47,421801184,2011-01-01,139,34,644,93
J4ydizz1e,4eR7TSqtaY5TIcuB4xtiro,https://instagram.com/J4yDiZz1e,-1,1023,157,36,128187,-1,-1,0,8,3
Chimbala,4VVEpEhC8NcR7AqNEds42U,https://instagram.com/chimbalaofficial/,-1,438950,6970069,146,291953284,-1,-1,0,172,94
Flex,13VwGEitoK8J0qjNjbgeTN,https://instagram.com/flexoficial/,https://es.wikipedia.org/wiki/Flex_(cantante),236483,3051520,19,114038384,2007-01-01,187,7,239,92
mitouh,6jt2AG86B16HVGtjQ95VjU,https://instagram.com/ilymitouh/,-1,159,13662,1,317265,-1,-1,0,0,94
Sierra Ferrell,3oVcF3VdpMuvMvLLyHPT4t,https://instagram.com/SierraElizabethFerrell,https://en.wikipedia.org/wiki/Sierra_Ferrell,87403,994549,8,4559199,2021-08-20,12,1,3,93
Lainey Wilson,6tPHARSq45lQ8BSALCfkFC,https://instagram.com/laineywilsonmusic,-1,48779,2483251,8,82753291,2016-04-08,76,2,51,91
WZRD BLD,0lwygfBqidQQAhseo0a0sG,-1,-1,90,14546,1,195793,-1,-1,0,0,71
Mnozil Brass,2aBhNSReWdYwygat8lCuk7,-1,-1,26329,23248,0,983253,2004-10-04,214,9,0,89
AK,33Cf4O1KAVbtQa00scMi2A,https://instagram.com/aljoshakonstanty,-1,54918,781565,127,8046200,2017-08-23,60,6,7,90
EL VY,3zsR0Nsw8G2KuzKSdmosPI,-1,-1,69212,112752,7,11369420,2015-10-30,82,1,0,88
Moonlight Scorpio,4MmceHDNzXjWNr42IFpuJc,https://instagram.com/moonlight.scorpio,-1,19111,177441,6,5292763,-1,-1,0,0,95
JM De Guzman,2uhjpR62cyl0U8HD38yFQ8,-1,-1,129551,180412,5,32675885,2012-02-01,126,2,4,93
RMaster,4EYP8xAKjfqjJ2bFWX7qLa,https://instagram.com/rmasterofficial,-1,44411,109183,11,2474239,2019-11-07,33,85,2,94
S. Fidelity,3XQIlYQsopsDCYMSkf1rEW,https://instagram.com/s_fidelity,-1,6844,207791,21,761305,2014-09-01,95,6,14,91
Eirian Music,4hMiTS2vx4r1mJbR4VUzn4,https://instagram.com/eirianmusic,-1,48587,1629046,26,20712407,-1,-1,0,18,94
Passion Pit,7gjAu1qr5C2grXeQFFOGeh,-1,https://en.wikipedia.org/wiki/Passion_Pit,1216064,2646471,9,256801708,2009-12-30,152,4,47,86
ZVCH,0xJUxPe6B3CSyHjQyNsrBb,https://instagram.com/zvch,-1,219,831,3,111832,-1,-1,0,0,15
Otis Redding,60df5JBRRPcnSpsIMxxwQm,https://instagram.com/OtisRedding,https://en.wikipedia.org/wiki/Otis_Redding,1969622,6376476,7,465019857,1968-02-23,654,21,732,93
Vesna Zmijanac,0OVgSCgWfc1ELQdiQbWlru,-1,https://en.wikipedia.org/wiki/Vesna_Zmijanac,23794,92836,3,1137038,1992-05-01,363,8,44,93
GJ,5CqbTtX7bCx1A5wn5xMWvh,https://instagram.com/g___j,https://zh.wikipedia.org/wiki/%E8%94%A3%E5%8D%93%E5%98%89,8212,52637,19,1117029,2013-10-09,106,2,13,91
Birdman,35sCXuy5gN6Or69rZ9vqBs,-1,-1,1079326,2420841,23,49898939,2005-01-01,211,11,0,91
PENTAGON,1wKpMkucynaTfG8lyPprYV,https://instagram.com/CUBE_PTG,-1,1886287,1240991,31,134128953,2020-02-12,30,3,14,91
Zxmyr,7IUaYyqcGB3aU2Tm4s5JY8,https://instagram.com/zxmyr.oficial,-1,71976,1606296,107,45931188,-1,-1,0,25,92
MDSN,6iv3P2yMTglEHCYNlmNBdD,https://instagram.com/mdsn,-1,9189,57832,7,3152419,-1,-1,0,7,91
nctrn,2wEuCFwiyPTHM0avugvLgP,https://instagram.com/nctrnsadtrap,-1,3608,46004,11,1320807,-1,-1,0,1,94
yvng bando boy,5423NcV7Y8xyU4dl9WKdxF,-1,-1,2051,14668,18,172127,-1,-1,0,4,94
Edicion Especial,7DkseLyOZrdRjCuoWFtqFi,https://instagram.com/edicionespecialoficial,-1,442700,2922549,24,52631067,2018-12-06,44,5,1,95
VVS Collective,2OYCiru0FZMaAXWn6eL7MA,https://instagram.com/vvscollective/,-1,27886,152583,6,23414593,-1,-1,0,0,93
Ujo,3svoiw5roZvtF08ukl162x,-1,-1,652,2215,4,834187,-1,-1,0,6,25
QDC,0S1VWy1aRh1r9Rm1iZhrrt,-1,-1,378,206915,13,745165,-1,-1,0,1,94
Akachi,0qm8T0Qee8ZITAOwUTfXgJ,https://instagram.com/akachiglo/,-1,602,570380,2,2432707,2021-12-10,8,2,0,95
Simon Fjällström,5cmNqNdfwQv9XZWjT7YGpT,-1,-1,115,45341,4,2434990,-1,-1,0,0,66
Tkyogrl,2gFB60MIZZZyWb7AeXpRC0,-1,-1,831,10801,0,858987,2016-10-15,70,3,1,93
